GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
50206278,201806,0,124,19730,0,0,11295.51,123,46,228,1214.79,420074.79,0,15602.86,1,-287.28,0,0,0.03,136.57,-0.92,1.46
55359970,201805,0,13,2125,0,0,212019.03,13,55,26,4602.15,301602.15,0,1700,1,0,0,0,-0.02,14.6,1.12,-0.09
54995057,201806,1,102,440,0,7786.89,129.1,103,24,39,111.02,111.02,0,0,0,76.47,1,0,0,178.06,19.29,23.09
53816168,201807,1,38,0,0,1406.9,1.14,39,17,86,1.14,1.14,0,7.75,1,78.05,0,0,0,57.95,1.72,2.26
78037354,201803,0,228,153680.15,2868.68,10945.48,37221.33,227,30,41,2884.47,58690.47,0,281.98,1,0,0,0,0,211.11,-167.24,0
98001727,201803,1,35,710,0,0,3768.26,34,69,225,195.84,16195.84,0,503.33,1,-165,0,0,0,22.35,3.35,-0.49
55318006,201803,1,12,4017.8,0,0,1265820.55,12,42,25,42070.55,1442070.55,0,10000,0,2008.9,1,-125000,0.02,9.76,1.23,-0.09
52345127,201804,0,60,1469.2,4099.4,9173,452.49,60,36,144,452.49,452.49,0,513.56,1,66.36,0,0,0,43.86,-4.06,9.6
50417372,201803,1,22,840,0,0,30585.55,22,29,171,44.58,45011.75,0,890.67,1,56.85,0,0,0,26.16,0,-0.97
53180114,201806,0,4,0,0,8539.05,36564.04,4,60,112,36564.04,36564.04,0,0,0,-162.34,0,0,0,5.09,0,0.14
76716486,201804,0,43,4522.17,4876.08,3076.5,6012.97,43,37,250,5951.48,15951.48,0,1474.75,1,0,0,0,0,26.1,-11.62,0
50157603,201805,1,24,717.06,717.06,0,2.9,24,42,189,0,0,0,700.53,1,36.24,0,0,0,37.92,-81.26,-2.29
55617398,201805,1,7,26770.8,0,0,284.9,7,0,17,284.9,284.9,0,19969.9,0,-5782.58,0,0,0,4.6,0,0.11
55149030,201803,0,108,2213.05,635.04,6780.25,1137.36,108,25,31,1137.36,1137.36,0,611.5,1,210.32,0,0,0,113.86,-17.61,8.54
90872526,201805,1,15,3042.09,0,0,2424.46,15,67,347,2424.46,2424.46,0,0,0,508.82,1,0,0,5.9,1.65,-0.06
54884861,201804,0,8,1274.75,772.64,0,1320.26,8,0,42,1320.26,1320.26,0,2001.35,1,-245.65,0,0,0,8.1,-0.75,0
