GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
52223134,201807,0,lower,higher,low,low,higher,lower,lower,mid,lower,higher,No,higher,Yes,lower,0,low,high,lower,low,low
93706140,201804,0,high,lower,high,high,high,high,high,high,high,high,No,low,Yes,lower,0,low,low,high,lower,lower
52553744,201804,1,higher,mid,mid,low,low,higher,low,mid,mid,low,No,high,Yes,mid,0,low,low,high,high,high
52877322,201805,1,mid,mid,low,low,lower,mid,lower,low,low,lower,No,mid,No,high,0,low,low,mid,mid,high
31488441,201803,1,low,lower,mid,mid,mid,low,higher,high,high,mid,No,low,Yes,higher,0,low,low,low,lower,mid
56011110,201806,0,lower,lower,low,low,higher,lower,low,lower,lower,higher,No,lower,No,higher,-1,high,high,lower,lower,high
76770455,201804,0,high,high,high,high,mid,high,high,higher,low,mid,No,higher,Yes,mid,0,low,low,higher,low,low
50523911,201806,1,higher,low,mid,mid,mid,higher,low,high,high,mid,No,mid,Yes,high,0,low,low,higher,high,higher
52454415,201805,1,high,low,low,mid,low,high,low,mid,mid,low,No,mid,Yes,mid,0,low,low,high,high,lower
55139579,201805,1,mid,high,low,low,lower,mid,mid,lower,lower,lower,No,high,Yes,high,0,low,low,high,mid,higher
